id,name,sp_region_id
1,Адыгейск,78
2,Майкоп,78
3,Горно-Алтайск,42
4,Алейск,43
5,Барнаул,43
6,Белокуриха,43
7,Бийск,43
8,Горняк,43
9,Заринск,43
10,Змеиногорск,43
11,Камень-на-Оби,43
12,Новоалтайск,43
13,Рубцовск,43
14,Славгород,43
15,Яровое,43
16,Белогорск,1
17,Благовещенск,1
18,Завитинск,1
19,Зея,1
20,Райчихинск,1
21,Свободный,1
22,Сковородино,1
23,Тында,1
24,Шимановск,1
25,Архангельск,24
26,Вельск,24
27,Каргополь,24
28,Коряжма,24
29,Котлас,24
30,Мезень,24
31,Мирный,24
32,Новодвинск,24
33,Няндома,24
34,Онега,24
35,Северодвинск,24
36,Сольвычегодск,24
37,Шенкурск,24
38,Астрахань,79
39,Ахтубинск,79
40,Знаменск,79
41,Камызяк,79
42,Нариманов,79
43,Харабали,79
44,Агидель,10
45,Баймак,10
46,Белебей,10
47,Белорецк,10
48,Бирск,10
49,Благовещенск,10
50,Давлеканово,10
51,Дюртюли,10
52,Ишимбай,10
53,Кумертау,10
54,Межгорье,10
55,Мелеуз,10
56,Нефтекамск,10
57,Октябрьский,10
58,Салават,10
59,Сибай,10
60,Стерлитамак,10
61,Туймазы,10
62,Уфа,10
63,Учалы,10
64,Янаул,10
65,Алексеевка,60
66,Белгород,60
67,Бирюч,60
68,Валуйки,60
69,Грайворон,60
70,Губкин,60
71,Короча,60
72,Новый Оскол,60
73,Старый Оскол,60
74,Строитель,60
75,Шебекино,60
76,Брянск,61
77,Дятьково,61
78,Жуковка,61
79,Злынка,61
80,Карачев,61
81,Клинцы,61
82,Мглин,61
83,Новозыбков,61
84,Почеп,61
85,Севск,61
86,Сельцо,61
87,Стародуб,61
88,Сураж,61
89,Трубчевск,61
90,Унеча,61
91,Фокино,61
92,Бабушкин,44
93,Гусиноозёрск,44
94,Закаменск,44
95,Кяхта,44
96,Северобайкальск,44
97,Улан-Удэ,44
98,Александров,62
99,Владимир,62
100,Вязники,62
101,Гороховец,62
102,Гусь-Хрустальный,62
103,Камешково,62
104,Карабаново,62
105,Киржач,62
106,Ковров,62
107,Кольчугино,62
108,Костерёво,62
109,Курлово,62
110,Лакинск,62
111,Меленки,62
112,Муром,62
113,Петушки,62
114,Покров,62
115,Радужный,62
116,Собинка,62
117,Струнино,62
118,Судогда,62
119,Суздаль,62
120,Юрьев-Польский,62
121,Волгоград,80
122,Волжский,80
123,Дубовка,80
124,Жирновск,80
125,Калач-на-Дону,80
126,Камышин,80
127,Котельниково,80
128,Котово,80
129,Краснослободск,80
130,Ленинск,80
131,Михайловка,80
132,Николаевск,80
133,Новоаннинский,80
134,Палласовка,80
135,Петров Вал,80
136,Серафимович,80
137,Суровикино,80
138,Урюпинск,80
139,Фролово,80
140,Бабаево,25
141,Белозерск,25
142,Великий Устюг,25
143,Вологда,25
144,Вытегра,25
145,Грязовец,25
146,Кадников,25
147,Кириллов,25
148,Красавино,25
149,Никольск,25
150,Сокол,25
151,Тотьма,25
152,Устюжна,25
153,Харовск,25
154,Череповец,25
155,Бобров,63
156,Богучар,63
157,Борисоглебск,63
158,Бутурлиновка,63
159,Воронеж,63
160,Калач,63
161,Лиски,63
162,Нововоронеж,63
163,Новохопёрск,63
164,Острогожск,63
165,Павловск,63
166,Поворино,63
167,Россошь,63
168,Семилуки,63
169,Эртиль,63
170,Буйнакск,35
171,Дагестанские Огни,35
172,Дербент,35
173,Избербаш,35
174,Каспийск,35
175,Кизилюрт,35
176,Кизляр,35
177,Махачкала,35
178,Хасавюрт,35
179,Южно-Сухокумск,35
180,Биробиджан,2
181,Облучье,2
182,Балей,45
183,Борзя,45
184,Краснокаменск,45
185,Могоча,45
186,Нерчинск,45
187,Петровск-Забайкальский,45
188,Сретенск,45
189,Хилок,45
190,Чита,45
191,Шилка,45
192,Вичуга,64
193,Гаврилов Посад,64
194,Заволжск,64
195,Иваново,64
196,Кинешма,64
197,Комсомольск,64
198,Кохма,64
199,Наволоки,64
200,Плёс,64
201,Приволжск,64
202,Пучеж,64
203,Родники,64
204,Тейково,64
205,Фурманов,64
206,Шуя,64
207,Южа,64
208,Юрьевец,64
209,Карабулак,36
210,Магас,36
211,Малгобек,36
212,Назрань,36
213,Алзамай,46
214,Ангарск,46
215,Байкальск,46
216,Бирюсинск,46
217,Бодайбо,46
218,Братск,46
219,Вихоревка,46
220,Железногорск-Илимский,46
221,Зима,46
222,Иркутск,46
223,Киренск,46
224,Нижнеудинск,46
225,Саянск,46
226,Свирск,46
227,Слюдянка,46
228,Тайшет,46
229,Тулун,46
230,Усолье-Сибирское,46
231,Усть-Илимск,46
232,Усть-Кут,46
233,Черемхово,46
234,Шелехов,46
235,Баксан,37
236,Майский,37
237,Нальчик,37
238,Нарткала,37
239,Прохладный,37
240,Терек,37
241,Тырныауз,37
242,Чегем,37
243,Багратионовск,26
244,Балтийск,26
245,Гвардейск,26
246,Гурьевск,26
247,Гусев,26
248,Зеленоградск,26
249,Калининград,26
250,Краснознаменск,26
251,Ладушкин,26
252,Мамоново,26
253,Неман,26
254,Нестеров,26
255,Озёрск,26
256,Пионерский,26
257,Полесск,26
258,Правдинск,26
259,Светлогорск,26
260,Светлый,26
261,Славск,26
262,Советск,26
263,Черняховск,26
264,Приморск,26
265,Городовиковск,81
266,Лагань,81
267,Элиста,81
268,Балабаново,65
269,Белоусово,65
270,Боровск,65
271,Ермолино,65
272,Жиздра,65
273,Жуков,65
274,Калуга,65
275,Киров,65
276,Козельск,65
277,Кондрово,65
278,Кремёнки,65
279,Людиново,65
280,Малоярославец,65
281,Медынь,65
282,Мещовск,65
283,Мосальск,65
284,Обнинск,65
285,Сосенский,65
286,Спас-Деменск,65
287,Сухиничи,65
288,Таруса,65
289,Юхнов,65
290,Вилючинск,3
291,Елизово,3
292,Петропавловск-Камчатский,3
293,Карачаевск,38
294,Теберда,38
295,Усть-Джегута,38
296,Черкесск,38
297,Беломорск,27
298,Кемь,27
299,Кондопога,27
300,Костомукша,27
301,Лахденпохья,27
302,Медвежьегорск,27
303,Олонец,27
304,Петрозаводск,27
305,Питкяранта,27
306,Пудож,27
307,Сегежа,27
308,Сортавала,27
309,Суоярви,27
310,Анжеро-Судженск,47
311,Белово,47
312,Берёзовский,47
313,Гурьевск,47
314,Калтан,47
