id,full_name,year_make,year_use,cost,sp_use_method_id,sp_direct_use_id,sp_country_id,sp_yes_no_id,sp_vuz_id
5,Дифференциальный сканирующий калориметр DSC 200 PC Phox фирмы  Netzsch ,2003,2003,1008.1,7,1,45,1,8
6,Сканирующий зондовый микроскоп «NanoEducator» (SPMO1Ed):,2008,2008,2622.85,3,1,140,1,8
7,Прибор синхронного\nтермического анализа                       ,2009,2009,3250.0,1,1,45,1,124
8,Сканирующий атомно-силовой микроскоп,2008,2008,1490.0,2,2,140,1,124
9,Спектрометр ИК-Фурье с\nприставкой диффузионного\nотражения\n\n,2010,2010,2920.0,5,3,45,1,124
10,"Анализатор углерода,\nводорода, азота, серы и\nкислорода с электронными\nмикровесами\n",2004,2004,3105.0,1,3,70,1,124
11,Спектрофотометр ИК-Фурье,2000,2000,1840.0,2,2,143,1,124
12,Масс-спектрометр,2011,2011,2600.0,1,1,45,1,124
13,Хромато-масс-спектрометр,1999,1999,1210.0,1,3,143,1,124
14,Газовый хроматограф,2010,2010,1010.0,1,3,204,1,124
15,Система\nкалориметрического\nтитрования\n,2008,2008,3960.0,1,1,143,1,124
16,Плазмохимическая\nустановка для травления\n,2010,2010,8750.0,1,1,140,1,124
17,Рентгеновский дифрактометр,2008,2008,33681.0,4,1,45,1,124
18,Сканирующий зондовый микроскоп  Solver P47,2007,2007,2133.6,3,1,140,1,128
19,Рентгеновский дифрактометр  XRD-7000S,2008,2008,5658.8,4,1,204,1,128
20,Флюориметр  RF-5301PC,2008,2008,896.36,5,1,204,1,128
21,Спектрофотометр  UV-3600,2008,2008,2298.0,5,1,204,1,128
22,ИК-Фурье спектрометр IRAffinity,2007,2007,823.52,5,1,204,1,128
23,Газовый хроматомасс-спектрометр  GCMS-QP2010 Plus,2008,2008,2794.5,1,1,204,1,128
24,Спектрально-измерительный комплекс на базе монохроматора МДР-41,2008,2008,649.8,5,1,140,2,128
25,Гелиевый криостат с замкнутым циклом SHI-4-1,2007,2007,1450.0,8,1,204,1,128
26,Пикосекундный Nd:YAG лазер PL1122,1994,1994,379.754,5,1,95,2,128
27,Система визуализации и анализа структуры нанообъектов Teknai G2 F-20 S-TWIN TMP Teknai G2 F-20 S-TWIN TMP,2012,2012,63559.3,2,1,122,1,128
28,Научный комплекс автоматизированных измерений физических свойств материалов в широком диапазоне магнитных полей и температур PPMS,2011,2011,35525.4,5,1,143,1,128
29,"Многолучевая система, оснащенная электронной и ионной пушкой JIB-4501 в комплекте с безазотной системой энергодисперсионного микроанализа JIB-4501",2010,2010,51000.0,2,1,204,1,128
30,Прибор синхронного термического анализа STA 449 F3 Jupiter,2009,2009,2496.7,7,1,45,2,9
31,Анализатор углерода и азота FLASH EA1112 CHN/MAS200,2003,2004,2771.08,7,1,143,2,9
32,ЭПР-спектрометр модели CMS 8400 в комплекте с системой термостатирования образца,2005,2005,2085.0,1,1,204,2,9
33,Специализированный спектральный комплекс для прецизионных измерений поглощения и люминесценции в ИК области,2003,2003,1117.62,1,1,205,2,9
34,"Аппарат рентгеновский для спектрального анализа \""СПЕКТРОСКАН МАКС-GV\""",2013,2013,2020.0,4,1,140,2,9
35,Система высокоэффективной жидкостной хроматографии ,2013,2013,2315.0,1,1,143,2,9
36,Установка для производства жидкого азота LNP20-Ru,2012,2012,2150.0,1,1,140,2,9
37,Газовый хромато-масс-спектрометр GCMS-QP2010Ultra с ионизацией электронным ударом,2012,2013,3390.4,7,1,204,2,9
38,Хромотограф  жидкостный  микроколоночный  Милихром  А-02,2012,2012,1680.0,1,1,140,2,9
39,Автоматизированный ЭПР спектрометр ESR70-03 XD/2 ,2012,2012,1490.0,1,1,140,2,9
40,"Комплекс оборудования Центра коллективного пользования аналитическим оборудованием ИГУ (ЯМР-Спектрометр «Varin500» VXR 500S, Спектрофотометр СФ-2000, ИК фурье-спектрометр \""Инфралюм ФТ-801\"", Спектрометр ААС \""Спектр-5-4\"", Спектрометр рентгеновский VRA 30, ИК-фурье спектрометр SPECTRUM TWO, включая SPECTRUM TIMEBASE, Металлический реактор с мешалкой R101, Низкотемпературный\nхолодильник MDF-193AT\nSanyo, Роторный испаритель Hei-VAP Precision HB/G3 HL Heidolph, Гомогенизатор TissueLyser\nLT с адаптером лизатора\nтканей, Комплекс аппаратно-программный для медициских исследований на базе хроматографа \""Хроматэк-Кристалл 5000\"", Вакуумно-дуговой ионный источник, Скоростная рентгеновская фрейм-камера, Малоугловой лазерный фотометр ФСР-1, Спекорд, Хроматограф жидкостный микроколоночный \""Милихром-6\"", ИК  Фурье-спектрометр  \""ФТ-801\""  с  приставками, Хроматограф ГАЛС-311 газовый/двухканальный, Центрифуга лаб. Eppendorf 5418, Лаборотория микроаналитическая, Спектрофотометр ПромЭкоЛаб ПЭ-5400УФ, Спектрофотометр ПЭ-5400 УФ(от 090нм), Центрифуга MPW10351)",2008,2008,8422.2,1,1,205,2,9
41,Высокоэффективный жидкостной хроматограф Thermo-Dionex UltiMate – 3000,2014,2014,2918.2,1,1,45,2,9
42,Электронный измерительный комплекс на базе потенциостата-гальваностата AUTOLAB ,2014,2014,1287.0,1,1,122,2,9
43,Волновой рентгенофлуоресцентный спектрометр последовательного анализа в комплекте,2010,2010,13700.0,2,1,140,1,10
44,Сканирующий электронный микроскоп VEGA 3 LMH с системой энергодисперсионного микроанализа (10216130),2012,2013,11106.0,5,1,140,1,10
45,"Генетический анализатор ABI PRISM 3500, 8-ми капиллярный",2012,2012,10950.0,5,1,143,1,10
46,Полусферический анализатор ALPHA 110/1,2009,2010,9190.0,5,1,2,1,10
47,Компактный настольный порошковый дифрактометр D2 PHASER в комплекте ,2011,2011,8200.0,4,1,140,1,10
48,Конический калометр GA 01,2011,2012,6200.0,4,1,140,1,10
49,Наноэдъюкатор с ПО для 5 рабочих мест,2010,2012,4028.0,7,3,143,1,10
50,Лазерный анализатор размера наночастиц Analysette 22 Nanotec plus,2012,2012,2438.0,5,1,204,1,10
51,Дифференциально-сканирующий калометр DSC4000 (автоматическая смена ,2012,2012,2200.0,2,1,204,1,10
52,Оборудование для измерения кислородного индекса EA04,2011,2011,1820.0,5,2,140,1,10
53,ИК-ФУРЬЕ спектрофотометр SPECTRUM TWO,2011,2012,1700.0,2,1,2,1,10
54,Термографический анализатор TGA 4000,2011,2012,1600.0,5,1,204,1,10
55,Многоцелевая установка для получения и исследования свойств упорядоченных наноструктур и наноконтактов,2008,2009,9800.0,1,1,140,1,10
56,Прибор для контроля целостности мембран,2013,2013,1550.69,6,1,45,1,13
57,Высокотемпературная камерная печь,2012,2012,1553.18,1,1,45,1,13
58,Система диспергирования,2008,2008,2000.0,1,1,140,1,13
59,Хроматограф жидкостной,2013,2013,2385.9,4,1,204,1,13
60,Печь лабораторная,2013,2013,2508.0,1,1,31,1,13
61,ИК-микроскоп,2013,2013,2884.1,2,1,204,1,13
62,Микроскоп металлографический инвентированный,2011,2011,2980.0,2,1,204,1,13
63,Лазерно-искровой экспресс анализатор элементного состава,2011,2011,3242.8,4,1,140,1,13
64,Испытательная машина,2013,2013,3245.0,1,1,204,1,13
65,Установка высокочастотная,2008,2008,4000.0,1,1,140,1,13
66,Энергодисперсионный рентгенофлуоресцентный спектрометр ,2009,2009,4500.8,4,1,140,1,13
67,Поромер,2013,2013,4568.0,1,1,19,1,13
68,Нанотвердомер сканирующий,2013,2013,877.575,5,1,204,1,13
69,Система микроанализа EVEX Gold для электронного микроскопа EVEX SX 3000 ,2012,2012,5541.37,2,1,45,1,13
70,Высокочастотная идукционная плазменная установка,2008,2008,7491.54,1,1,140,1,13
71,Атомно-абсорбционный спектрофотометр,2012,2012,7500.0,4,1,45,1,13
72,Микроскоп сканирующий зондовый с электрохимической приставкой,2008,2008,10000.0,2,1,143,1,13
73,Дифрактометр порошковый,2011,2011,12100.0,4,1,45,1,13
74,Конфокальный лазерный сканирующий 3D микроскоп,2011,2011,12300.0,2,1,204,1,13
75,Рентгено-флуоресцентный энергодисперсионный спектрометр с полным внешним отражением,2011,2011,13990.0,4,1,45,1,13
76,Высокочастотная емкостная плазменная установка,2008,2008,17200.0,1,1,140,1,13
77,Электронный растровый микроскоп,2012,2012,21541.2,2,1,45,1,13
78,Растровый электронный микроскоп SEM JEOL JSM – 6390 LA,2010,2011,35000.0,2,3,204,2,135
79,Рентгеновский дифрактометр Дифрей 401,2011,2011,2100.0,4,3,140,2,135
80,"Электрохимический комплекс PARSTAT 4000, Versastat 3",2013,2013,3100.0,5,3,143,2,135
81,Химический реактор Anton Paar,2010,2010,1900.0,6,3,2,2,135
82,Просвечивающий электронный микроскоп JEM-2100,2012,2013,33000.0,2,1,204,1,135
83,Микро-Раман спектрометр LabRam HR 800,2012,2012,17000.0,5,1,184,1,135
84,ИК-Фурье спектрометр  Bruker Vertex 80v,2010,2011,9000.0,5,1,45,1,135
85,"Комплекс: анализатор стереоизображений поверхности твердых тел на базе стереомикроскопа MeijiTechnoRZ-В MeijiTechnoCorp., микроскоп металлографический инвертированный Meiji-200 МeijiTechnoCorp. с программой анализа изображений Thixomet PRO ООО «Тиксомет».",2011,2011,1473.5,2,1,204,1,17
86,Растровый электронный микроскоп JSM-6490LVJEOL,2008,2008,6485.0,2,1,204,1,17
87,"Система микроанализа для растрового электронного микроскопа JEOL JSM- 6490LV INCA Energy 450 x-МАХ 50 Premium, HKL Premium EBSD System Nordlys II 2 S Oxford InstrumentsLtd.",2011,2011,10500.0,2,1,31,1,17
88,Универсальный твердомер М4С075G3 ЕmсоTest.,2011,2011,2462.5,8,1,2,1,17
89,Комплекс физического моделирования Gleeble 3500 DynamicSystemInc.,2012,2012,32757.6,7,1,143,1,17
90,"Универсальный научно-исследовательский комплекс для исследования механических свойств материалов AG IC-300 kN, AG IC-50 kN, TRWiewX Shimadzu Corp",2012,2012,4950.0,7,1,204,1,17
91,"Комплект оборудования для определения физико-механических свойств материалов UMT-1, Bruker",2013,2013,5400.0,7,1,143,1,17
92,"Интерференционный микроскоп Contour GT K1, Bruker",2012,2012,6413.8,2,1,143,1,17
93,"MarSurf XCR 20 с топографией ХТ 20, Mahr",2012,2012,3600.0,2,1,45,1,17
94,"Автоматизированное рабочее место для роста углеродных нанотрубок, получения наноразмерного пористого алюминия, Автоматизированная система разработки и тестирования электронных изделий",2012,2013,3700.0,8,3,140,2,17
95,автоматизированный пултрузионный комплекс для изготовления деталей из полимерных композиционных материалов,2012,2014,9080000.0,8,4,62,1,18
96,Двухканальный прибор длядиэлектрического анализаDEA 288 epsilon,2014,2014,1661240.0,1,4,45,1,18
97,Пламенный фотометр ПФА-354 лабораторный ,1985,1985,194855.0,8,4,140,2,18
98,Спектрофотометр,1985,1985,725696.0,8,4,140,2,18
99,Электромеханическая универсальная испытательная машина WDW-10E с компьютерным управлением ,2011,2012,920700.0,1,2,193,1,18
100,Вакуумная установка,2005,2006,182928.0,8,4,140,2,18
101,Многофункциональная лабораторная станция,2012,2013,6900000.0,5,1,1,1,18
102,Станок фрезерный,2013,2013,330000.0,6,1,81,2,18
103,Прибор для изготовления вольфрама,1988,1988,958453.0,6,1,73,2,18
104,Спектрофотометр SpectroFlex 6600 с набором кювета Hellma с крышкой QS 5 мм,2010,2010,338408.0,2,2,143,1,18
105,Станок лазерной резки и гравировки Veno 530,2011,2012,2500000.0,8,4,81,2,18
106,Установка синтеза гидрозолей нанокластеров металлов электроимпульсными разрядами в жидкостях,2012,2012,27500000.0,1,1,45,1,18
107,Установка ЭМ542 для работы с подложками,1983,1984,586915.0,5,2,140,2,18
108,Хроматограф газовый модель GC-2010 Plus,2010,2010,1463.04,1,1,204,2,148
109,Хроматограф жидкостной модель LC-20A Prominence,2010,2010,1744.09,1,1,204,2,148
110,Планетарная мельница FRITSCH PULVERISETTE 5,2010,2010,1151.0,1,1,45,2,148
111,Оптический эмиссионный спектрометр,2011,2011,2540.68,1,1,45,2,148
112,Универсальная испытательная машина Inspekt 50 kNV900W,2011,2011,1749.15,6,1,45,2,148
113,Анализатор фрагментов микроструктуры металлопокрытий и твердых тел,2011,2011,1525.42,2,1,140,2,148
114,Устройство для измерения и анализа параметров топографии поверхности ,2011,2011,1440.68,7,1,31,2,148
115,Сканирующий зондовый микроскоп «ФемтоСкан»,2010,2010,1400.0,3,3,140,2,148
116,Рентгеновский дифрактометр исследовательского типа Еmруrеаn ,2011,2011,25423.7,4,1,122,2,148
117,Установка для нанесения покрытий ННВ-6.6,2012,2013,6768.17,1,1,140,2,148
118,Настольный сканирующий электронный микроскоп Phenom,2011,2012,5441.57,2,1,122,2,148
119,Универсальный твердомер Duravision произ-ва ЕМСО-TEST,2012,2013,2118.64,1,1,2,2,148
120,Оптический спектрофлуориметр с компьютерным управлением FLSP920 Steady State с комплектом дооснащения,2011,2011,7456.61,5,1,31,2,148
121,Комплект доподнительного оборудования для проведения исследований на рентгено-флуоресцентном спектрометре,2010,2010,2611.86,4,1,143,2,148
122,Система для ударных испытаний неполимерных композиционных материалов на ударный изгиб с энергией до 50Дж,2010,2010,2540.0,1,1,143,2,148
123,Автоматизированный монохроматор с двойной дисперсией М899,2011,2011,1423.85,7,1,17,2,148
124,Вибрационный магнитометр EZ11,2013,2013,15908.7,1,1,143,1,148
125,Микроскоп для лабораторных исследований Axio Imager со штативом Z2 Vario.,2011,2011,5611.71,2,1,45,2,148
126,Оптический криостат для микроскопии на замкнутом цикле Гиффорда-МакМагона,2012,2012,2282.73,2,1,143,2,148
127,"Климатическая камера Thermotron. модель SE-300-2-2, тепло-холод-влажностьl",2011,2011,1316.95,6,1,143,2,148
128,Масс-спектрометр Thermo Scientific в комп.с изократич.нососом,2012,2012,6620.34,5,3,143,2,148
129,Газо-хроматографический комплекс Trace 1310 производство компании Thermo Fischer,2013,2013,2534.6,5,3,143,2,148
130,ЭПР-спектрометр ESR 70-03 XD/2,2012,2012,1193.26,5,3,17,2,148
131,Монореактор для микроволнового синтеза Monowave 300,2012,2012,1016.95,1,1,2,2,148
132,Спектрометр электронного парамагнитного резонанса Bruker EMXplus PX-10/12,2011,2011,23471.7,4,1,45,1,148
133,Комплекс NanoEducator-7 по нанотехнологиям научно-образовательный,2010,2010,6300.0,3,1,140,2,148
134,Научно-учебный комплекс на базе электронного микроскопа с системой энергодисперсионного микроанализа,2010,2010,5400.0,2,1,204,2,148
135,Дилатометр горизонтальный DIL 402 C/7/G,2010,2010,5500.0,1,1,143,2,148
136,Система широко-и малоуглового рассеяния рентгеновского излучения,2010,2010,12828.0,1,1,143,2,148
137,"Спектрофотометр \""Lambda 950\""",2010,2010,6097.38,5,1,143,2,148
138,Совмещенный хромато-масс спектрометрический комплекс,2011,2011,11000.0,1,3,69,2,148
139,Спектрометр мультиядерный ЯМР высокого разрешения,2011,2011,16500.0,1,3,204,1,148
140,Газовый хромато-масс-спектрометр Thermo ISQ LT ,2014,2014,6784.45,5,3,143,2,148
141,Монохроматор FHR1000 производства Scientific ,2014,2014,8150.0,5,1,143,2,148
