id,name,sp_fo_id
1,Амурская область,1
2,Еврейская АО,1
3,Камчатский край,1
4,Магаданская область,1
5,Приморский край,1
6,Сахалинская область,1
7,Хабаровский край,1
8,Чукотский авт. окр.,1
9,Якутия,1
10,Башкортостан,2
11,Кировская область,2
12,Марий Эл,2
13,Мордовия,2
14,Нижегородская область,2
15,Оренбургская область,2
16,Пензенская область,2
17,Пермский край,2
18,Самарская область,2
19,Саратовская область,2
20,Татарстан,2
21,Удмуртия,2
22,Ульяновская область,2
23,Чувашия,2
24,Архангельская область,3
25,Вологодская область,3
26,Калининградская область,3
27,Карелия,3
28,Коми,3
29,Ленинградская область,3
30,Мурманская область,3
31,Ненецкий Авт. Окр.,3
32,Новгородская область,3
33,Псковская область,3
34,Санкт-Петербург,3
35,Дагестан,4
36,Ингушетия,4
37,Кабардино-Балкария,4
38,Карачаево-Черкесия,4
39,Северная Осетия - Алания,4
40,Ставропольский край,4
41,Чечня,4
42,Алтай,5
43,Алтайский край,5
44,Бурятия,5
45,Забайкальский край,5
46,Иркутская область,5
47,Кемеровская область,5
48,Красноярский край,5
49,Новосибирская область,5
50,Омская область,5
51,Томская область,5
52,Тыва,5
53,Хакасия,5
54,Курганская область,6
55,Свердловская область,6
56,Тюменская область,6
57,Ханты-Мансийский авт. окр.,6
58,Челябинская область,6
59,Ямало-Ненецкий авт. окр.,6
60,Белгородская область,7
61,Брянская область,7
62,Владимирская область,7
63,Воронежская область,7
64,Ивановская область,7
65,Калужская область,7
66,Костромская область,7
67,Курская область,7
68,Липецкая область,7
69,Москва,7
70,Московская область,7
71,Орловская область,7
72,Рязанская область,7
73,Смоленская область,7
74,Тамбовская область,7
75,Тверская область,7
76,Тульская область,7
77,Ярославская область,7
78,Адыгея,8
79,Астраханская область,8
80,Волгоградская область,8
81,Калмыкия,8
82,Краснодарский край,8
83,Ростовская область,8
84,Крым,9
85,Севастополь,9
