ID,AdmArea,Month,Year,TotalAmount,TotalAmount_num
73,Центральный административный округ,Октябрь,2016,1065523860.0,1065523860.0
85,Центральный административный округ,Ноябрь,2016,1072033883.0,1072033883.0
97,Центральный административный округ,Декабрь,2016,1083268627.0,1083268627.0
109,Центральный административный округ,Январь,2017,1103915545.5,1103915545.5
121,Центральный административный округ,Февраль,2017,1129023935.08,1129023935.08
133,Центральный административный округ,Март,2017,1111853811.94,1111853811.94
145,Центральный административный округ,Апрель,2017,1115320815.67,1115320815.67
169,Центральный административный округ,Июнь,2017,1131309445.43,1131309445.43
182,Центральный административный округ,Июль,2017,1197215543.72,1197215543.72
350,Центральный административный округ,Сентябрь,2017,1212037226.66,1212037226.66
422,Центральный административный округ,Октябрь,2017,1233226017.0,1233226017.0
410,Центральный административный округ,Ноябрь,2017,1248661932.0,1248661932.0
458,Центральный административный округ,Декабрь,2017,1258380754.0,1258380754.0
434,Центральный административный округ,Август,2017,1205424733.0,1205424733.0
290,Центральный административный округ,Февраль,2018,1247523024.93,1247523024.93
302,Центральный административный округ,Май,2018,1247099349.01,1247099349.01
446,Центральный административный округ,Апрель,2018,1242811612.0,1242811612.0
398,Центральный административный округ,Декабрь,2018,1250072335.0,1250072335.0
362,Центральный административный округ,Ноябрь,2018,1249987014.8,1249987014.8
266,Центральный административный округ,Январь,2018,1255932407.09,1255932407.09
338,Центральный административный округ,Февраль,2019,1318968869.0,1318968869.0
481,Центральный административный округ,Январь,2019,1282372753.0,1282372753.0
493,Центральный административный округ,Апрель,2019,1376249632.96,1376249632.96
505,Центральный административный округ,Март,2019,1300946634.0,1300946634.0
518,Центральный административный округ,Май,2019,1320926822.0,1320926822.0
530,Центральный административный округ,Июль,2019,1294459975.0,1294459975.0
542,Центральный административный округ,Июнь,2019,1310177657.0,1310177657.0
554,Центральный административный округ,Август,2019,1289896855.0,1289896855.0
578,Центральный административный округ,Октябрь,2019,1322195308.0,1322195308.0
590,Центральный административный округ,Ноябрь,2019,1338087340.0,1338087340.0
602,Центральный административный округ,Декабрь,2019,1346013423.63,1346013423.63
614,Центральный административный округ,Январь,2020,1387503641.27,1387503641.27
626,Центральный административный округ,Февраль,2020,1342359782.32,1342359782.32
638,Центральный административный округ,Март,2020,1354303732.14,1354303732.14
686,Центральный административный округ,Июль,2020,1361095963.83,1361095963.83
698,Центральный административный округ,Август,2020,1348579151.0,1348579151.0
709,Центральный административный округ,Сентябрь,2020,1339981091.29,1339981091.29
721,Центральный административный округ,Октябрь,2020,1351154922.05,1351154922.05
733,Центральный административный округ,Ноябрь,2020,1360154861.83,1360154861.83
745,Центральный административный округ,Декабрь,2020,1390256402.39,1390256402.39
805,Центральный административный округ,Май,2021,1399711506.75,1399711506.75
865,Центральный административный округ,Октябрь,2021,1395232174.22,1395232174.22
878,Центральный административный округ,Ноябрь,2021,1426668016.12,1426668016.12
890,Центральный административный округ,Декабрь,2021,1432572227.85,1432572227.85
914,Центральный административный округ,Февраль,2022,1503652101.24,1503652101.24
926,Центральный административный округ,Март,2022,1501570468.92,1501570468.92
987,Центральный административный округ,Август,2022,1500253073.74,1500253073.74
1011,Центральный административный округ,Октябрь,2022,1511403308.44,1511403308.44
1023,Центральный административный округ,Ноябрь,2022,1525619546.67,1525619546.67
1035,Центральный административный округ,Декабрь,2022,1577877750.09,1577877750.09
1071,Центральный административный округ,Март,2023,1680960450.37,1680960450.37
1083,Центральный административный округ,Апрель,2023,1679463889.27,1679463889.27
1095,Центральный административный округ,Май,2023,1693621275.98,1693621275.98
1108,Центральный административный округ,Июнь,2023,1678591457.45,1678591457.45
1169,Центральный административный округ,Ноябрь,2023,1740483615.58,1740483615.58
1181,Центральный административный округ,Декабрь,2023,1741544445.32,1741544445.32
1276,Центральный административный округ,Август,2024,1874717626.17,1874717626.17
1288,Центральный административный округ,Сентябрь,2024,1863198365.81,1863198365.81
1300,Центральный административный округ,Октябрь,2024,1881543094.17,1881543094.17
1312,Центральный административный округ,Ноябрь,2024,1884313837.22,1884313837.22
1324,Центральный административный округ,Декабрь,2024,1894235156.63,1894235156.63
1408,Центральный административный округ,Июль,2025,2157225145.28,2157225145.28
1420,Центральный административный округ,Август,2025,2184243305.06,2184243305.06
1432,Центральный административный округ,Сентябрь,2025,2175254613.15,2175254613.15
1444,Центральный административный округ,Октябрь,2025,2207602218.63,2207602218.63
1456,Центральный административный округ,Ноябрь,2025,2218136644.58,2218136644.58
1468,Центральный административный округ,Декабрь,2025,2259048983.0,2259048983.0
