id,short_name,sp_city_id,checked
1,Алтайский государственный технический университет им. И.И. Ползунова,5,1
2,Амурский гуманитарно-педагогический государственный университет,1006,0
3,Ангарская государственная техническая академия,214,1
4,Брянский государственный университет имени академика И.Г. Петровского,76,0
5,Воронежский государственный архитектурно-строительный университет,159,0
6,Воронежский государственный университет,159,1
7,Дальневосточный федеральный университет,704,0
8,Ивановский государственный университет,195,1
9,Иркутский государственный университет,222,1
10,Кабардино-Балкарский государственный университет им. Х.М. Бербекова,237,1
11,Казанский государственный архитектурно-строительный университет,922,0
12,Казанский государственный энергетический университет,922,0
13,Казанский национальный исследовательский технологический университет,922,1
14,Кемеровский технологический институт пищевой промышленности,315,0
15,Курский государственный университет,430,1
16,Липецкий государственный технический университет,474,0
17,Магнитогорский государственный технический университет им. Г.И. Носова,1045,1
18,МАТИ - Российский государственный технологический университет имени К.Э. Циолковского,490,1
19,Московский авиационный институт (национальный исследовательский университет),490,1
20,Московский государственный индустриальный университет,490,1
21,Московский государственный машиностроительный университет (МАМИ),490,0
22,Московский государственный университет приборостроения и информатики,490,0
23,"Московский государственный технологический университет \""СТАНКИН\""",490,1
24,Московский государственный университет тонких химических технологий имени М.В. Ломоносова,490,1
25,Новгородский государственный университет имени Ярослава Мудрого,618,0
26,Омский государственный технический университет,643,1
27,Омский государственный университет им. Ф.М. Достоевского,643,0
28,Пермский государственный национальный исследовательский университет,693,0
29,Поволжский государственный технологический университет (до 18.04.2012 г. – Марийский государственный технический университет),481,0
30,Рыбинский государственный авиационный технический университет имени П.А. Соловьева,1106,1
31,Санкт-Петербургский государственный университет аэрокосмического приборостроения,781,1
32,Северо-Кавказский федеральный университет,902,0
33,Сибирский федеральный университет,410,1
34,Тамбовский государственный технический университет,909,1
35,Тверской государственный университет,952,1
36,Томский государственный архитектурно-строительный университет,961,0
37,Тульский государственный педагогический университет им. Л.Н. Толстого,975,0
38,Тульский государственный университет,975,0
39,Тюменский государственный архитектурно-строительный университет,989,0
40,Удмуртский государственный университет,993,0
41,Ульяновский государственный университет,1002,0
42,Челябинский государственный университет,1058,0
43,Чувашский государственный университет имени И.Н. Ульянова,1072,1
44,Таврический национальный университет им. В.И. Вернадского,1110,0
45,Севастопольский национальный университет ядерной энергии и промышленности,1111,1
46,Государственная классическая академия имени Маймонида,490,0
47,Московский государственный университет технологий и управления имени К.Г. Разумовского,490,0
48,Северный (Арктический) федеральный университет имени М.В. Ломоносова,25,1
49,Самарский государственный технический университет,769,1
50,Волгоградский государственный технический университет,121,0
51,Волгоградский государственный университет,121,1
52,Ингушский государственный университет,210,0
53,Кубанский государственный университет,380,0
54,Литературный институт имени А.М. Горького,490,0
55,Московский автомобильно-дорожный государственный технический университет (МАДИ),490,0
56,Набережночелнинский институт социально-педагогических технологий и ресурсов,928,0
57,Нижегородский государственный лингвистический университет им. Н.А. Добролюбова,606,0
58,Псковский государственный университет,723,0
59,Российский государственный педагогический университет им. А. И. Герцена,781,1
60,Российский государственный социальный университет,490,0
61,Тувинский государственный университет,982,0
62,Уральский государственный экономический университет,829,0
63,Чеченский государственный университет,1062,0
64,Московская государственная художественно-промышленная академия им.С.Г.Строганова,490,0
65,Московский государственный гуманитарный университет имени М.А. Шолохова,490,0
66,Казанский (Приволжский) федеральный университет,922,0
67,Российский государственный профессионально-педагогический университет,829,0
68,Смоленский государственный университет,881,0
69,Тобольская государственная социально-педагогическая академия им. Д.И. Менделеева,988,0
70,Северо-Кавказская государственная гуманитарно-технологическая академия,296,0
71,Чувашский государственный педагогический университет им. И.Я. Яковлева,1072,0
72,Камская государственная инженерно-экономическая академия,928,0
73,Владивостокский государственный университет экономики и сервиса,704,0
74,Оренбургский государственный педагогический университет,653,0
75,Адыгейский государственный университет,2,0
76,Алтайская государственная академия образования имени В.М. Шукшина,7,0
77,Алтайская государственная педагогическая академия,5,0
78,Алтайский государственный университет,5,0
79,Амурский государственный университет,17,0
80,Армавирская государственная педагогическая академия,373,0
81,Астраханский государственный университет,38,0
82,Байкальский государственный университет экономики и права,222,0
83,Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова,781,0
84,Башкирский государственный педагогический университет им. М. Акмуллы,62,1
85,Башкирский государственный университет,62,0
86,Белгородский государственный технологический университет им. В.Г.Шухова,66,1
87,Благовещенский государственный педагогический университет,17,0
88,Борисоглебский государственный педагогический институт,157,0
89,Братский государственный университет,218,0
90,Брянская государственная инженерно-технологическая академия,76,0
91,Брянский государственный технический университет,76,1
92,Бурятский государственный университет,97,0
93,Волгоградский государственный архитектурно-строительный университет,121,0
94,Волгоградский государственный социально-педагогический университет,121,0
95,Вологодский государственный педагогический университет,143,0
96,Вологодский государственный университет (до 24 октября 2013 г. Вологодский государственный технический университет),143,0
97,Воронежская государственная лесотехническая академия,159,0
98,Воронежский государственный педагогический университет,159,0
99,Воронежский государственный технический университет,159,1
100,Воронежский государственный университет инженерных технологий,159,0
101,Восточно-Сибирская государственная академия образования,222,0
102,Восточно-Сибирский государственный университет технологий и управления,97,0
103,Высшая школа народных искусств (институт),781,0
104,Вятский государственный гуманитарный университет,333,0
105,Гжельский государственный художественно-промышленный институт,1112,0
106,Глазовский государственный педагогический институт имени В.Г. Короленко,992,0
107,Горно-Алтайский государственный университет,3,0
108,Государственная академия славянской культуры,490,0
109,Государственная полярная академия,781,0
110,Государственный академический университет гуманитарных наук,490,0
111,Государственный институт русского языка им. А.С. Пушкина,490,0
112,Государственный университет - учебно-научно-производственный комплекс,664,0
113,Государственный университет управления,490,0
114,Грозненский государственный нефтяной технический университет имени академика М.Д.Миллионщикова,1062,0
115,Дагестанский государственный педагогический университет,177,0
116,Дагестанский государственный технический университет,177,1
117,Дагестанский государственный университет,177,1
118,Приамурский государственный университет имени Шолом-Алейхема,180,0
119,Дальневосточный государственный гуманитарный университет,1009,0
120,Донской государственный технический университет,744,1
121,Елецкий государственный университет им. И.А. Бунина,471,0
122,Забайкальский государственный университет,190,0
123,Ивановский государственный архитектурно-строительный университет,195,0
124,Ивановский государственный химико-технологический университет,195,1
125,Ивановский государственный энергетический университет имени В.И. Ленина,195,0
126,Ижевский государственный технический университет имени М.Т.Калашникова,993,1
127,Иркутский государственный лингвистический университет,222,0
128,Иркутский государственный технический университет,222,1
129,Ишимский государственный педагогический институт им. П.П. Ершова,987,0
130,Калмыцкий государственный университет,267,0
131,Калужский государственный университет им. К.Э. Циолковского,274,0
